pptReplayUrl,pbp_x,pbp_y,scorer_id,period,event_team_id,event_id,time_remaining,event_zone,shot_type,goalie_id,primary_assist_id,secondary_assist_id,away_score,home_score,game_id,issue,note,corrected_x,corrected_y
https://wsr.nhle.com/sprites/20232024/2023020821/ev266.json,76,1,8480028,2,4,266,15:37,O,wrist,8478872,,,1,1,2023020821,puck not in net,penalty shot,,
https://wsr.nhle.com/sprites/20232024/2023020847/ev304.json,-84,0,8475225,1,25,304,7:29,O,wrist,8477424,8479351,,3,0,2023020847,puck not in net,puck error,,
https://wsr.nhle.com/sprites/20232024/2023020867/ev1059.json,-79,4,8480027,5,25,1059,0:00,O,backhand,8480280,,,3,3,2023020867,puck not in net,shootout,,
https://wsr.nhle.com/sprites/20232024/2023020867/ev1062.json,66,3,8473419,5,6,1062,0:00,O,wrist,8479979,,,3,3,2023020867,puck not in net,shootout,,
https://wsr.nhle.com/sprites/20232024/2023020917/ev216.json,85,-8,8482055,3,5,216,13:19,O,wrist,8477361,8471215,8481703,4,5,2023020917,puck not in net,wrong play,,
https://wsr.nhle.com/sprites/20232024/2023020944/ev226.json,-71,-6,8477493,5,13,226,0:00,O,wrist,8478470,,,3,3,2023020944,puck not in net,shootout,,
https://wsr.nhle.com/sprites/20232024/2023020944/ev227.json,68,5,8481540,5,8,227,0:00,O,wrist,8476932,,,3,3,2023020944,puck not in net,shootout,,
https://wsr.nhle.com/sprites/20232024/2023020944/ev228.json,-82,-1,8482113,5,13,228,0:00,O,wrist,8478470,,,3,3,2023020944,puck not in net,shootout,,
https://wsr.nhle.com/sprites/20232024/2023020962/ev172.json,78,0,8482159,2,4,172,0:02,O,snap,8481544,,,1,3,2023020962,puck not in net,penalty shot,,
https://wsr.nhle.com/sprites/20232024/2023021171/ev175.json,74,-2,8480074,5,29,175,0:00,O,snap,8477968,,,3,3,2023021171,puck not in net,shootout,,
https://wsr.nhle.com/sprites/20232024/2023021171/ev181.json,84,4,8476923,5,29,181,0:00,O,backhand,8477968,,,3,3,2023021171,puck not in net,shootout,,
https://wsr.nhle.com/sprites/20232024/2023030145/ev11.json,-78,0,8475744,1,12,11,6:38,O,snap,8473575,,,1,3,2023030145,puck not in net,penalty shot,,
https://wsr.nhle.com/sprites/20232024/2023030154/ev616.json,88,0,8478403,2,54,616,16:51,O,backhand,8479979,8476539,8477964,1,2,2023030154,puck not in net,margin of error,,
https://wsr.nhle.com/sprites/20232024/2023030313/ev1209.json,-68,-19,8478055,3,13,1209,13:02,O,snap,8478048,8479314,8478542,4,4,2023030313,puck not in net,margin of error,,
https://wsr.nhle.com/sprites/20232024/2023021059/ev764.json,60,23,8474141,2,17,764,2:20,O,snap,8480045,8477456,8476906,1,2,2023021059,shot coord,,84,-14
